#  Omega_m  n_s     A_s    h     f_phi
3.105139181989911568e-01 1.084999999999999964e+00 2.540999999999999807e-09 6.737333333333332952e-01 4.800119999999999942e-01
3.266520304151667720e-01 9.264999999999999902e-01 3.140999999999999803e-09 6.541333333333333444e-01 5.799720000000000431e-01
3.289038600267261692e-01 1.080000000000000071e+00 2.166000000000000172e-09 7.006666666666666599e-01 2.200179999999999914e-01
2.990671176735641978e-01 9.010000000000000231e-01 2.616000000000000065e-09 7.226666666666665684e-01 2.799940000000000206e-01
3.082620885874317596e-01 9.776000000000000245e-01 1.677999999999999996e-09 7.103999999999999204e-01 3.199779999999999847e-01
3.219607187244180602e-01 9.929000000000000048e-01 3.254000000000000137e-09 7.030666666666667286e-01 5.199960000000000138e-01
3.161434922278895665e-01 9.468999999999999639e-01 2.090999999999999914e-09 7.177333333333332233e-01 4.200360000000000205e-01
3.046966917024627186e-01 1.008000000000000007e+00 2.841000000000000012e-09 6.614666666666667583e-01 9.999740000000000018e-02
2.806771758458291854e-01 9.878000000000000114e-01 2.052999999999999838e-09 6.515999999999999570e-01 8.599580000000000002e-01
3.242125483359774574e-01 8.806000000000000494e-01 1.977999999999999994e-09 6.271999999999999797e-01 3.599620000000000042e-01
3.035707768966829923e-01 1.074000000000000066e+00 3.216000000000000061e-09 6.246666666666667034e-01 8.399659999999999904e-01
3.174570595012992658e-01 9.827000000000000179e-01 2.504000000000000038e-09 6.124000000000000554e-01 4.000180000000000402e-02
3.116398330047708276e-01 1.012999999999999901e+00 3.029000000000000190e-09 7.202666666666664996e-01 9.000400000000000622e-01
3.127657478105504985e-01 8.550999999999999712e-01 1.828000000000000098e-09 6.320000000000001172e-01 2.400100000000000011e-01
3.093880033932114304e-01 8.959000000000000297e-01 2.803999999999999830e-09 6.442666666666666542e-01 1.000000000000000000e+00
3.058226065082424450e-01 8.499999999999999778e-01 2.429000000000000194e-09 6.834666666666666668e-01 6.199559999999999516e-01
3.230866335301977310e-01 1.090000000000000080e+00 1.641000000000000020e-09 6.418666666666666965e-01 6.400460000000000038e-01
3.300297748325058955e-01 9.061000000000000165e-01 2.953999999999999932e-09 6.149333333333333318e-01 4.600200000000000400e-01
3.185829743070789921e-01 1.064000000000000057e+00 1.565999999999999969e-09 6.638666666666666050e-01 9.600160000000000915e-01
2.921239763712561444e-01 9.163000000000000034e-01 1.453000000000000049e-09 6.907999999999998586e-01 8.800480000000000524e-01
2.863067498747276507e-01 1.018000000000000016e+00 2.016000000000000069e-09 6.099999999999999867e-01 2.000259999999999816e-01
2.909980615654764180e-01 1.058999999999999941e+00 2.465999999999999963e-09 6.468000000000000416e-01 3.399700000000000499e-01
2.748599493493007473e-01 9.519999999999999574e-01 2.991000000000000115e-09 6.687999999999999501e-01 2.600020000000000109e-01
2.782376937666398709e-01 9.213999999999999968e-01 2.353999999999999936e-09 7.054666666666665753e-01 7.999560000000000004e-02
3.208348039186383338e-01 1.038999999999999924e+00 2.879000000000000088e-09 6.810666666666665980e-01 2.999860000000000304e-01
2.851808350689479798e-01 9.112000000000000099e-01 1.865999999999999967e-09 6.589333333333333709e-01 7.200140000000000429e-01
3.277779452209464983e-01 1.028999999999999915e+00 2.391000000000000119e-09 6.345333333333333936e-01 9.400239999999999707e-01
3.311556896382855664e-01 9.979999999999999982e-01 1.753000000000000047e-09 6.712000000000000188e-01 7.599979999999999514e-01
3.150175774221098957e-01 8.908000000000000362e-01 2.279000000000000092e-09 6.931999999999999273e-01 6.800300000000000233e-01
3.197088891128586630e-01 9.315999999999999837e-01 2.728999999999999985e-09 7.299999999999999822e-01 8.199739999999999807e-01
3.138916626163302248e-01 1.034000000000000030e+00 3.290999999999999906e-09 6.491999999999998883e-01 1.399519999999999931e-01
